migration_rate,biotic_coeff,abiotic_coeff,fixed_interaction_mat,selection_coeff,correlated_div,modular_div,div_diff
0.1,5.0,1.0,1,0.01,2.3751881192808963,2.3466244348298777,0.028563684451018645
0.1,2.0,0.5,9,0.01,2.0425086750358936,2.0996202052141935,-0.05711153017829984
0.1,0.0,2.0,7,0.01,2.589417457462396,2.590182003181315,-0.0007645457189191518
0.1,1.0,5.0,3,0.12,2.217186794513622,2.437453454733737,-0.2202666602201151
0.1,1.0,0.1,3,0.01,2.491277580880762,2.410904731483336,0.08037284939742584
0.1,0.5,0.5,5,0.12,2.4586561390125166,2.4898918719595584,-0.03123573294704185
0.1,5.0,0.5,2,0.12,2.4060181962526794,2.397234247410389,0.008783948842290279
0.1,2.0,0.5,4,0.01,2.4094595023517544,2.55695867149958,-0.14749916914782535
0.1,0.0,2.0,4,0.12,2.5912081896482473,2.5957542705167973,-0.004546080868550018
0.1,0.1,2.0,5,0.01,2.582763279739134,2.707661356926048,-0.12489807718691415
0.1,5.0,0.1,4,0.01,2.3541991035718635,2.417966971267673,-0.06376786769580933
0.1,1.0,1.0,1,0.01,2.3157315866892074,2.018256249514584,0.29747533717462327
0.1,1.0,5.0,9,0.12,2.4612105286143025,2.5378047002306867,-0.07659417161638427
0.1,5.0,5.0,8,0.01,2.5293717742880033,2.3696963671390576,0.15967540714894568
0.1,2.0,2.0,5,0.5,1.592388951571211,1.733189797003093,-0.14080084543188187
0.1,1.0,5.0,4,0.12,2.4614191947933697,2.457617335008815,0.0038018597845548285
0.1,2.0,0.5,7,0.5,0.6614296672036883,0.3461514043902102,0.31527826281347815
0.1,0.0,0.0,7,0.01,2.5930456081820306,2.5905495346879137,0.002496073494116846
0.1,0.0,0.1,5,0.01,2.5884498101448323,2.5928524659122067,-0.004402655767374419
0.1,0.0,0.0,9,0.12,2.591726857027549,2.5888009902853435,0.0029258667422054074
0.1,0.1,5.0,6,0.5,2.542664836461195,2.4888849660467516,0.05377987041444321
0.1,0.0,1.0,8,0.01,2.588757608677906,2.5933499829559286,-0.004592374278022504
0.1,2.0,0.0,1,0.12,2.309535750181199,2.3698054796589254,-0.060269729477726575
0.1,0.1,2.0,2,0.5,2.09607189746743,1.7655163298184424,0.3305555676489875
0.1,0.0,0.0,4,0.12,2.593950332715807,2.594236205850402,-0.0002858731345951604
0.1,2.0,0.1,8,0.01,2.1412887924663795,1.9522875868064653,0.18900120565991418
0.1,5.0,0.1,8,0.5,0.07009530808879916,0.06709794762800746,0.002997360460791701
0.1,0.5,0.1,3,0.12,2.3328565921586146,2.3716350944060762,-0.0387785022474616
0.1,0.1,0.1,10,0.5,0.06671882053792098,0.08520960525882448,-0.0184907847209035
0.1,1.0,0.5,7,0.01,2.4424943366813676,2.414775527106619,0.027718809574748704
0.1,0.5,5.0,7,0.12,2.2391393326656917,2.5578939827531793,-0.3187546500874876
0.1,0.5,1.0,1,0.12,2.4768018301038084,2.3301154522415195,0.14668637786228889
0.1,0.5,0.1,7,0.01,2.2452814737367093,2.4292862106849884,-0.18400473694827912
0.1,0.5,0.5,7,0.5,0.2649937438025685,0.5521139617301873,-0.2871202179276188
0.1,2.0,5.0,10,0.12,2.4605048401939493,2.513598641936222,-0.05309380174227263
0.1,1.0,0.5,4,0.12,2.5440053202619173,2.3338507932772,0.21015452698471737
0.1,0.0,2.0,1,0.5,2.573434336153302,2.567107346458711,0.006326989694590779
0.1,5.0,0.1,10,0.5,0.06591383745367457,0.06714762230799866,-0.0012337848543240854
0.1,1.0,0.0,5,0.01,2.2765561704207142,2.4943634125791676,-0.21780724215845337
0.1,0.5,0.1,8,0.01,2.2182659337005908,2.4782792707279433,-0.2600133370273525
0.1,0.0,1.0,1,0.5,2.5609257023440577,2.573781482074808,-0.01285577973075025
0.1,0.5,5.0,6,0.01,2.5587250395137096,2.485511212233741,0.0732138272799685
