migration_rate,biotic_coeff,fixed_interaction_mat,abiotic_coeff,selection_coeff,diversity_index
0.1,0.0,5,0.0,0.5,2.5529378208832134
0.1,1.0,6,0.5,0.12,2.3141390915795457
0.1,2.0,7,2.0,0.12,2.383425696204155
0.1,0.0,5,2.0,0.12,2.5769551771216435
0.1,0.0,1,5.0,0.01,2.5920435463807703
0.1,0.1,9,5.0,0.01,2.620889366003125
0.1,0.5,7,1.0,0.5,1.6250871268938751
0.1,0.0,10,5.0,0.12,2.5945352042385226
0.1,1.0,1,0.5,0.12,2.4950526186770134
0.1,1.0,2,5.0,0.01,2.3916969878842353
0.1,2.0,8,2.0,0.12,2.541009519102238
0.1,2.0,9,5.0,0.5,2.323883506878228
0.1,1.0,5,5.0,0.12,2.2725997499077586
0.1,2.0,10,1.0,0.5,0.9842790293229577
0.1,1.0,7,0.0,0.01,2.4865446472031443
0.1,1.0,9,0.0,0.12,2.4242942640896112
0.1,0.5,2,5.0,0.5,2.3278691627906234
0.1,0.1,6,1.0,0.5,1.4030224161167113
0.1,2.0,2,0.1,0.01,2.490720033721423
0.1,0.0,6,0.1,0.5,2.552392010860042
0.1,0.5,7,0.0,0.5,0.06820882166909663
0.1,0.0,5,0.0,0.12,2.5961639418767213
0.1,1.0,3,5.0,0.01,2.183601164108224
0.1,2.0,3,5.0,0.12,2.4574704898375423
0.1,0.5,5,0.5,0.01,2.2171376040954525
0.1,0.0,1,0.1,0.5,2.5409904004730124
0.1,5.0,4,5.0,0.01,2.366319757076984
0.1,0.0,4,2.0,0.01,2.5851694079234537
0.1,5.0,1,2.0,0.5,2.3144890275524133
0.1,0.5,8,0.0,0.5,0.06817128219449471
0.1,0.1,6,2.0,0.12,2.5945798556748345
0.1,0.0,3,0.0,0.01,2.5912868297280425
0.1,5.0,3,0.1,0.5,0.06621451937158307
0.1,2.0,1,1.0,0.01,2.3488089458121926
0.1,2.0,9,0.1,0.01,2.287542628936632
0.1,0.0,5,5.0,0.01,2.5891628133541773
0.1,5.0,3,0.5,0.01,2.320337651523706
0.1,0.1,1,2.0,0.12,2.7040719032612386
0.1,0.0,6,0.1,0.12,2.592901893233657
0.1,1.0,3,0.1,0.5,0.06660578047594426
0.1,5.0,6,2.0,0.12,2.4180166310935136
0.1,2.0,10,0.0,0.12,2.4355775159444697
0.1,0.1,5,2.0,0.5,2.1165432522501395
0.1,0.0,4,0.0,0.01,2.5934448837611606
0.1,5.0,4,0.1,0.5,0.06810312233131617
0.1,0.1,6,0.0,0.12,2.360931544768497
0.1,0.1,7,5.0,0.12,2.6334111173745542
0.1,0.5,1,2.0,0.01,2.4892384816200157
0.1,0.0,1,0.1,0.12,2.5916683400107203
0.1,0.1,9,0.1,0.12,2.4191636858027334
0.1,5.0,6,1.0,0.12,2.2440906376270178
0.1,0.5,10,2.0,0.12,2.241080263709772
0.1,1.0,2,0.1,0.12,2.4900591102021012
0.1,0.5,8,0.0,0.12,2.5218370735001794
0.1,5.0,3,0.1,0.12,2.3207457043852804
0.1,0.0,5,0.1,0.5,2.526417132483088
0.1,0.1,1,0.0,0.12,2.3584792291176266
0.1,0.5,7,5.0,0.01,2.5158438472475084
0.1,0.5,1,1.0,0.01,2.4733905714420295
0.1,2.0,9,0.5,0.12,2.4339343066109755
0.1,5.0,7,0.1,0.01,2.2597268660217824
0.1,0.0,5,0.5,0.01,2.587348057503866
0.1,0.0,8,0.0,0.5,2.516068585961998
0.1,0.5,1,0.0,0.01,2.404899997714414
0.1,0.5,10,0.0,0.12,2.378950152067024
0.1,1.0,1,1.0,0.12,2.428356779821376
